"row","col","code","name"
1,7,"WD","Woodlands"
1,8,"SB","Sembawang"
1,9,"SE","Simpang"
1,10,"SL","Seletar"
2,7,"MD","Mandai"
2,8,"YS","Yishun"
2,9,"SE","Sengkang"
2,10,"PG","Punggol"
3,4,"CK","Choa Chu Kang"
3,5,"SK","Sungei Kadut"
3,6,"BS","Bishan"
3,7,"TP","Toa Payoh"
3,8,"AM","Ang Mo Kio"
3,9,"SG","Serangoon"
3,10,"HG","Hougang"
3,11,"PL","Paya Lebar"
3,12,"PR","Pasir Ris"
4,3,"LK","Lim Chu Kang"
4,4,"TH","Tengah"
4,5,"CC","Central Water Catchment"
4,6,"TL","Tanglin"
4,7,"NT","Newton"
4,8,"RC","Rochor"
4,9,"KL","Kallang"
4,10,"GL","Geylang"
4,11,"BD","Bedok"
4,12,"TM","Tampines"
4,13,"CH","Changi"
5,2,"WC","Western Water Catchment"
5,3,"JW","Jurong West"
5,4,"BK","Bukit Batok"
5,5,"BP","Bukit Panjang"
5,6,"NV","Novena"
5,7,"OR","Orchard"
5,8,"MU","Museum"
5,9,"ME","Marina East"
5,10,"MP","Marine Parade"
6,1,"TS","Tuas"
6,2,"PN","Pioneer"
6,3,"BL","Boon Lay"
6,4,"JE","Jurong East"
6,5,"BT","Bukit Timah"
6,6,"RV","River Valley"
6,7,"DT","Downtown Core"
6,8,"MS","Marina South"
7,4,"CL","Clementi"
7,5,"QT","Queenstown"
7,6,"SR","Singapore River"
7,7,"SV","Straits View"
8,6,"BM","Bukit Merah"
8,7,"OT","Outram"
9,6,"SI","Southern Islands"
